transaction_id,customer_name,product_name,category,price,quantity,date,payment_method,transaction_date,shipping_city,rating,is_valid_price
TRX00305,Ophelia Hartati,Quo Basic,Buku,50000.0,4,2026-07-13,Kartu Kredit,2026-07-13,Blitar,1.0,True
TRX00500,Cut Maya Wijayanti,Delectus,Elektronik,500000.0,1,2026-07-09,E-Wallet,2026-07-09,Lubuklinggau,,True
TRX00442,"Dr. Ridwan Utama, M.Pd",Animi Max,Elektronik,25000.0,1,2026-08-25,COD,2026-08-25,Probolinggo,2.0,True
TRX00154,"Viman Suwarno, S.H.",Consectetur,Fashion,250000.0,1,27/07/2026,COD,2026-07-27,Tual,4.0,True
TRX00132,Ir. Ilyas Setiawan,Ducimus Pro,Rumah Tangga,250000.0,4,15/09/2026,COD,2026-09-15,Subulussalam,2.0,True
TRX00205,Agnes Najmudin,Dicta Pro,Rumah Tangga,120000.0,1,07/08/2026,E-Wallet,2026-08-07,Batam,2.0,True
TRX00010,"dr. Elisa Uwais, S.I.Kom",Eos Max,Fashion,1200000.0,4,2026-08-17,COD,2026-08-17,Tidak Diketahui,5.0,True
TRX00326,Julia Halimah,Consequuntur Pro,Kesehatan,150000.0,4,2026-08-18,E-Wallet,2026-08-18,Ambon,4.0,True
TRX00248,R.M. Radika Fujiati,Consectetur Lite,Fashion,1200000.0,2,11-09-2026,Transfer Bank,2026-09-11,Palopo,,True
TRX00466,"Cakrabirawa Hidayat, M.TI.",Recusandae Pro,Fashion,50000.0,2,18-06-2026,E-Wallet,2026-06-18,Palembang,2.0,True
TRX00354,Jelita Mangunsong,Harum Basic,Kesehatan,500000.0,1,04-07-2026,E-Wallet,2026-07-04,Bandung,,True
TRX00290,R. Ella Wahyuni,Soluta Lite,Kesehatan,15000.0,3,21-08-2026,COD,2026-08-21,Salatiga,,True
TRX00085,Danang Andriani,Molestias Lite,Elektronik,150000.0,2,07-09-2026,COD,2026-09-07,Tidak Diketahui,3.0,True
TRX00011,"Cawisono Nasyidah, S.H.",Dolorem Max,Buku,500000.0,5,29/07/2026,E-Wallet,2026-07-29,Subulussalam,4.0,True
TRX00325,Mulyono Nuraini,Et,Fashion,50000.0,1,2026-08-14,E-Wallet,2026-08-14,Bengkulu,,True
TRX00079,Dr. Legawa Simanjuntak,Numquam Max,Rumah Tangga,25000.0,1,12/08/2026,Transfer Bank,2026-08-12,Purwokerto,2.0,True
TRX00031,Gabriella Namaga,Delectus Max,Fashion,120000.0,4,22-08-2026,COD,2026-08-22,Kota Administrasi Jakarta Barat,1.0,True
TRX00185,Rahmat Pradipta,Iure Lite,Kesehatan,75000.0,1,2026-08-26,E-Wallet,2026-08-26,Kota Administrasi Jakarta Utara,5.0,True
TRX00196,Ghaliyati Zulkarnain,Labore Pro,Kesehatan,500000.0,5,2026-08-31,E-Wallet,2026-08-31,Padangpanjang,,True
TRX00223,"Ir. Bahuraksa Nugroho, M.Kom.",Officiis Lite,Rumah Tangga,1200000.0,1,24/08/2026,E-Wallet,2026-08-24,Tangerang Selatan,2.0,True
TRX00210,Gasti Mulyani,Cum Max,Buku,750000.0,4,19/07/2026,COD,2026-07-19,Kotamobagu,,True
TRX00282,"R.M. Dasa Lailasari, S.Ked",Magni,Rumah Tangga,500000.0,1,2026-08-06,COD,2026-08-06,Pangkalpinang,1.0,True
TRX00209,Empluk Handayani,Ut Max,Buku,120000.0,5,2026-07-26,E-Wallet,2026-07-26,Padangpanjang,3.0,True
TRX00251,"Gandewa Maulana, S.E.I",Amet,Kesehatan,15000.0,5,2026-07-13,Transfer Bank,2026-07-13,Tanjungpinang,2.0,True
TRX00077,"Puti Victoria Anggraini, S.H.",Dolorum,Fashion,120000.0,1,29-08-2026,COD,2026-08-29,Banjarbaru,,True
TRX00383,T. Rahman Thamrin,Fugiat Max,Kesehatan,120000.0,2,28-08-2026,E-Wallet,2026-08-28,Medan,,True
TRX00343,Paris Tarihoran,Autem Pro,Fashion,500000.0,3,2026-09-08,E-Wallet,2026-09-08,Banjarmasin,,True
TRX00324,"Humaira Mandala, S.IP",Sint Max,Buku,750000.0,4,23-08-2026,Kartu Kredit,2026-08-23,Kota Administrasi Jakarta Barat,,True
TRX00245,Dr. Hari Marpaung,Eligendi Basic,Kesehatan,750000.0,3,29/08/2026,Transfer Bank,2026-08-29,Kota Administrasi Jakarta Pusat,2.0,True
TRX00332,"Drs. Nadia Saputra, S.Kom",Culpa,Elektronik,75000.0,3,2026-07-17,E-Wallet,2026-07-17,Sukabumi,1.0,True
TRX00141,"Puti Malika Lazuardi, S.E.I",Praesentium,Buku,750000.0,5,2026-09-09,Kartu Kredit,2026-09-09,Pekanbaru,1.0,True
TRX00073,Edi Mulyani,Ut Pro,Elektronik,120000.0,2,13-08-2026,E-Wallet,2026-08-13,Bekasi,4.0,True
TRX00401,Erik Zulkarnain,Molestias Lite,Rumah Tangga,25000.0,5,27/08/2026,Transfer Bank,2026-08-27,Samarinda,5.0,True
TRX00488,"Cut Hesti Gunawan, M.Kom.",Maiores Lite,Buku,75000.0,3,22/07/2026,Transfer Bank,2026-07-22,Cirebon,3.0,True
TRX00226,Garan Mayasari,Aut Lite,Olahraga,500000.0,2,15-07-2026,Kartu Kredit,2026-07-15,Bandung,5.0,True
TRX00178,Tirta Nasyiah,Deleniti,Rumah Tangga,120000.0,1,22-07-2026,Kartu Kredit,2026-07-22,Surakarta,,True
TRX00404,Violet Hutagalung,Magni Basic,Fashion,25000.0,5,10-07-2026,Transfer Bank,2026-07-10,Tebingtinggi,4.0,True
TRX00056,Artanto Samosir,Maiores Lite,Kesehatan,250000.0,3,2026-09-06,E-Wallet,2026-09-06,Manado,,True
TRX00406,Warta Widodo,Iusto Max,Rumah Tangga,25000.0,1,2026-09-01,E-Wallet,2026-09-01,Magelang,3.0,True
TRX00299,dr. Fitriani Manullang,Praesentium Pro,Buku,1200000.0,3,15-09-2026,Kartu Kredit,2026-09-15,Payakumbuh,2.0,True
TRX00078,Sutan Vero Maheswara,Odit Basic,Elektronik,150000.0,5,30/06/2026,Kartu Kredit,2026-06-30,Surakarta,1.0,True
TRX00469,"Kiandra Tampubolon, S.Farm",Ipsam Max,Rumah Tangga,25000.0,2,28/08/2026,E-Wallet,2026-08-28,Kota Administrasi Jakarta Utara,,True
TRX00318,Tgk. Kenes Thamrin,Veritatis Basic,Kesehatan,25000.0,3,26/08/2026,Kartu Kredit,2026-08-26,Singkawang,,True
TRX00476,Gasti Gunarto,Assumenda Max,Olahraga,5000000.0,5,11-09-2026,COD,2026-09-11,Pekalongan,2.0,True
TRX00091,Asirwanda Rajata,Modi Basic,Olahraga,15000.0,5,17/07/2026,Transfer Bank,2026-07-17,Madiun,,True
TRX00239,Cahyo Mangunsong,Autem Lite,Kesehatan,50000.0,4,14-07-2026,Kartu Kredit,2026-07-14,Pekalongan,2.0,True
TRX00486,Amelia Mandasari,Reiciendis Pro,Olahraga,1200000.0,5,03-07-2026,Kartu Kredit,2026-07-03,Kota Administrasi Jakarta Pusat,,True
TRX00064,Lembah Fujiati,Laborum Lite,Rumah Tangga,25000.0,5,22/08/2026,COD,2026-08-22,Palangkaraya,5.0,True
TRX00458,Wisnu Manullang,Nulla,Buku,50000.0,5,29/07/2026,E-Wallet,2026-07-29,Dumai,,True
TRX00071,Fathonah Astuti,Repellendus Lite,Kesehatan,1200000.0,3,11-08-2026,COD,2026-08-11,Pangkalpinang,2.0,True
TRX00003,Johan Suartini,Alias,Rumah Tangga,750000.0,4,2026-08-07,E-Wallet,2026-08-07,Jayapura,2.0,True
TRX00288,T. Slamet Hutapea,Explicabo,Elektronik,250000.0,1,2026-07-05,E-Wallet,2026-07-05,Blitar,5.0,True
TRX00342,KH. Mulya Pratama,Expedita Pro,Rumah Tangga,250000.0,5,2026-08-18,Transfer Bank,2026-08-18,Pontianak,5.0,True
TRX00138,Vanya Habibi,Enim Basic,Rumah Tangga,12000000.0,4,2026-07-12,Transfer Bank,2026-07-12,Kotamobagu,,True
TRX00250,Cindy Wahyudin,Et Pro,Olahraga,1200000.0,4,2026-06-20,Kartu Kredit,2026-06-20,Tasikmalaya,3.0,True
TRX00195,Simon Yolanda,Totam Lite,Kesehatan,25000.0,3,04/09/2026,Transfer Bank,2026-09-04,Tidak Diketahui,1.0,True
TRX00173,Paulin Maheswara,Odit Lite,Elektronik,250000.0,3,21-07-2026,Kartu Kredit,2026-07-21,Sawahlunto,2.0,True
TRX00083,Cahyo Maryadi,Eveniet Basic,Rumah Tangga,1200000.0,3,2026-07-22,COD,2026-07-22,Tarakan,4.0,True
TRX00454,Siska Widiastuti,Voluptatem,Elektronik,50000.0,5,20/07/2026,E-Wallet,2026-07-20,Prabumulih,,True
TRX00319,Febi Prayoga,Hic,Fashion,2500000.0,2,2026-08-07,Transfer Bank,2026-08-07,Langsa,1.0,True
TRX00034,Titi Sirait,Corrupti,Elektronik,120000.0,1,10/07/2026,Transfer Bank,2026-07-10,Prabumulih,2.0,True
TRX00427,"Ian Widodo, S.Ked",Sint Basic,Buku,120000.0,4,05-09-2026,Transfer Bank,2026-09-05,Semarang,,True
TRX00228,Drs. Kiandra Hariyah,Repellendus Max,Buku,150000.0,4,2026-08-06,E-Wallet,2026-08-06,Palopo,3.0,True
TRX00001,"Balidin Dongoran, S.T.",Exercitationem Pro,Elektronik,120000.0,2,2026-07-08,Transfer Bank,2026-07-08,Tangerang,1.0,True
TRX00012,"Puti Prasetya, S.Psi",Aspernatur Pro,Elektronik,25000.0,2,08-07-2026,Kartu Kredit,2026-07-08,Lubuklinggau,5.0,True
TRX00238,Ira Najmudin,Error,Kesehatan,500000.0,4,18/07/2026,Kartu Kredit,2026-07-18,Depok,2.0,True
TRX00023,Nurul Budiyanto,Culpa Basic,Rumah Tangga,15000.0,1,09/09/2026,COD,2026-09-09,Kendari,2.0,True
TRX00297,Dewi Santoso,Odio Max,Fashion,500000.0,4,10-07-2026,COD,2026-07-10,Banjarbaru,1.0,True
TRX00102,Ibrahim Nugroho,Quasi,Rumah Tangga,250000.0,4,12-09-2026,Transfer Bank,2026-09-12,Singkawang,3.0,True
TRX00080,Endah Kusmawati,Odio Lite,Olahraga,120000.0,1,2026-07-11,Kartu Kredit,2026-07-11,Subulussalam,2.0,True
TRX00430,Faizah Haryanti,Cum,Buku,120000.0,1,11/07/2026,Kartu Kredit,2026-07-11,Pontianak,3.0,True
TRX00432,Zulfa Haryanti,Sit Max,Olahraga,750000.0,2,03/07/2026,E-Wallet,2026-07-03,Singkawang,2.0,True
TRX00019,"Calista Zulaika, M.Pd",Fugiat Lite,Buku,1200000.0,4,26/08/2026,Kartu Kredit,2026-08-26,Binjai,3.0,True
TRX00177,Arsipatra Firgantoro,Incidunt Basic,Olahraga,500000.0,2,15/09/2026,Kartu Kredit,2026-09-15,Bengkulu,3.0,True
TRX00232,Intan Wibisono,Nemo Pro,Elektronik,120000.0,4,26-08-2026,Kartu Kredit,2026-08-26,Sorong,3.0,True
TRX00133,"Dr. Cornelia Halimah, S.I.Kom",Nemo Lite,Buku,1200000.0,2,17/07/2026,COD,2026-07-17,Cilegon,2.0,True
TRX00040,Gasti Hakim,Repellendus Lite,Fashion,500000.0,1,23-08-2026,COD,2026-08-23,Tidore Kepulauan,,True
TRX00465,"R. Baktiono Sihotang, S.I.Kom",In Pro,Rumah Tangga,1200000.0,4,30-06-2026,E-Wallet,2026-06-30,Sukabumi,2.0,True
TRX00047,Sutan Jono Saptono,Delectus,Kesehatan,500000.0,3,09-09-2026,COD,2026-09-09,Kota Administrasi Jakarta Barat,,True
TRX00358,T. Daruna Permata,Ipsum,Kesehatan,120000.0,3,2026-08-08,Transfer Bank,2026-08-08,Kendari,4.0,True
TRX00278,"T. Niyaga Hassanah, S.Kom",Similique Lite,Kesehatan,120000.0,3,2026-07-13,Kartu Kredit,2026-07-13,Dumai,,True
TRX00363,"R.A. Ifa Megantara, M.M.",Aspernatur Lite,Buku,250000.0,1,07-08-2026,Kartu Kredit,2026-08-07,Sabang,5.0,True
TRX00094,"Bagiya Yulianti, S.Gz",Aliquam Pro,Fashion,25000.0,4,11-09-2026,E-Wallet,2026-09-11,Banda Aceh,5.0,True
TRX00447,Rina Nasyiah,Dolores Max,Elektronik,50000.0,1,2026-07-17,Kartu Kredit,2026-07-17,Kupang,3.0,True
TRX00204,"Radit Santoso, S.Ked",Ducimus Max,Olahraga,250000.0,5,12-07-2026,COD,2026-07-12,Makassar,3.0,True
TRX00149,"Prima Yulianti, S.E.I",Possimus Basic,Elektronik,150000.0,3,2026-09-12,Transfer Bank,2026-09-12,Pekalongan,4.0,True
TRX00221,Sutan Utama Tampubolon,Laudantium Basic,Kesehatan,750000.0,1,22/08/2026,E-Wallet,2026-08-22,Kendari,3.0,True
TRX00070,"Ellis Susanti, M.Farm",Incidunt Max,Rumah Tangga,75000.0,4,24/07/2026,Transfer Bank,2026-07-24,Langsa,4.0,True
TRX00254,"T. Dasa Sihombing, S.IP",Architecto Basic,Elektronik,15000.0,2,09/07/2026,Kartu Kredit,2026-07-09,Batam,,True
TRX00399,Puti Puspita,Quam Pro,Buku,25000.0,4,24/07/2026,Transfer Bank,2026-07-24,Bekasi,2.0,True
TRX00168,dr. Uchita Mustofa,Consectetur Pro,Buku,750000.0,2,07/09/2026,Transfer Bank,2026-09-07,Tidore Kepulauan,4.0,True
TRX00276,Karta Utama,Nam,Olahraga,750000.0,4,16/07/2026,Kartu Kredit,2026-07-16,Kota Administrasi Jakarta Barat,5.0,True
TRX00321,Kemal Wastuti,Quisquam,Buku,5000000.0,2,2026-07-22,Kartu Kredit,2026-07-22,Malang,,True
TRX00330,"drg. Winda Lailasari, S.E.",Illum Lite,Fashion,25000.0,2,2026-09-04,Kartu Kredit,2026-09-04,Langsa,5.0,True
TRX00174,Yuni Uyainah,Minima Max,Kesehatan,150000.0,3,2026-06-27,COD,2026-06-27,Parepare,4.0,True
TRX00273,Samsul Sudiati,Veritatis Basic,Elektronik,1200000.0,5,27-08-2026,Kartu Kredit,2026-08-27,Blitar,,True
TRX00496,"Cut Juli Adriansyah, S.Sos",Inventore Lite,Olahraga,1200000.0,2,27/06/2026,COD,2026-06-27,Padangpanjang,2.0,True
TRX00183,"Dr. Cornelia Wijayanti, S.Kom",Temporibus Lite,Olahraga,120000.0,4,2026-08-14,E-Wallet,2026-08-14,Banjarbaru,,True
TRX00269,Janet Jailani,Beatae Lite,Rumah Tangga,250000.0,2,17/07/2026,COD,2026-07-17,Lhokseumawe,5.0,True
TRX00353,"Dt. Emin Hariyah, M.Pd",Nisi Pro,Buku,15000.0,1,04/08/2026,Kartu Kredit,2026-08-04,Kota Administrasi Jakarta Barat,4.0,True
TRX00118,Belinda Permata,Suscipit,Rumah Tangga,50000.0,4,18/08/2026,Kartu Kredit,2026-08-18,Bukittinggi,,True
TRX00394,"Empluk Hartati, M.Kom.",Eum,Fashion,15000.0,1,2026-07-20,COD,2026-07-20,Palangkaraya,5.0,True
TRX00333,Tina Nashiruddin,Accusantium Max,Kesehatan,50000.0,1,23/08/2026,E-Wallet,2026-08-23,Salatiga,,True
TRX00456,Pia Permata,Delectus,Kesehatan,12000000.0,2,07/08/2026,E-Wallet,2026-08-07,Makassar,,True
TRX00445,Rosman Rahmawati,Voluptas Max,Olahraga,25000.0,3,19/07/2026,Kartu Kredit,2026-07-19,Cimahi,2.0,True
TRX00357,"Aurora Wacana, M.M.",Eveniet Basic,Fashion,150000.0,1,2026-08-05,E-Wallet,2026-08-05,Bogor,,True
TRX00087,H. Oman Palastri,Sed Max,Elektronik,25000.0,2,06-09-2026,COD,2026-09-06,Jayapura,2.0,True
